"ccode","decade","pop","pop2","gdp","gdp2","lab","cra","edu","att","lif","hgt","pol","id","hom","bio","c2p","s2p","s2t","c2t","ine","region","ctr"
4,1820,3280,3280,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.946,0,0,NA,NA,NA,"South and South-East Asia","Afghanistan"
4,1830,3389,3389,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.943,0,0,NA,NA,NA,"South and South-East Asia","Afghanistan"
4,1840,3577,3577,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.939,0,0,NA,NA,NA,"South and South-East Asia","Afghanistan"
4,1850,3776,3776,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.934,0,0,0,NA,NA,"South and South-East Asia","Afghanistan"
4,1860,3986,3986,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.929,0,0,0,NA,NA,"South and South-East Asia","Afghanistan"
4,1870,4207,4207,NA,NA,NA,NA,NA,NA,NA,168.4,5,NA,NA,0.923,0,0,0,NA,49.58121,"South and South-East Asia","Afghanistan"
4,1880,4507,4507,NA,NA,NA,NA,NA,NA,NA,165.69,5,NA,NA,0.915,0,0,0,NA,NA,"South and South-East Asia","Afghanistan"
4,1890,4882,4882,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.906,0,0,0,NA,36.52764,"South and South-East Asia","Afghanistan"
4,1900,5289,5289,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.895,0,0,0,NA,NA,"South and South-East Asia","Afghanistan"
4,1910,5730,5730,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.884,0,0,0,NA,42.47902,"South and South-East Asia","Afghanistan"
4,1920,6335,6335,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,0.868,0,0,0,NA,NA,"South and South-East Asia","Afghanistan"
4,1930,6941,6941,NA,NA,NA,NA,NA,NA,NA,166.8,5,0,NA,0.851,0,0,0,NA,NA,"South and South-East Asia","Afghanistan"
4,1940,7546,7546,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,0.833,0,0,0,4,NA,"South and South-East Asia","Afghanistan"
4,1950,8840.8,8840.8,690.63188781,644.7561632,NA,NA,0.22,NA,28.995,NA,1,0,NA,0.814,0,0,0,49.8,NA,"South and South-East Asia","Afghanistan"
4,1960,10913,10913,721.31228828,739.4106486,NA,NA,0.31,NA,34.1405,NA,1,0,NA,0.774,0.01,0,0,237.1,NA,"South and South-East Asia","Afghanistan"
4,1970,13979,13979,690.54142352,709.4576032,NA,NA,0.62,NA,38.9855,NA,4,0,NA,0.771,0.04,0,0,523.6,NA,"South and South-East Asia","Afghanistan"
4,1980,13823.9,13823.9,771.31016032,689.9746687,NA,NA,1.09,NA,44.529,NA,NA,0,NA,0.77,0.03,0,0,711.2,NA,"South and South-East Asia","Afghanistan"
4,1990,19535.9,19535.9,536.61699756,604.0490304,NA,NA,1.6,NA,52.234,167.1,3,0,NA,0.77,0.06,0,0,394.1,NA,"South and South-East Asia","Afghanistan"
4,2000,28261.2222222222,28261.2222222222,702.613494377778,565.2309015,NA,NA,2.51,NA,57.094,161.4,4,0,3.4,0.773,0.01,0,0,200.222222222222,NA,"South and South-East Asia","Afghanistan"
4,2010,29117,29117,NA,NA,NA,NA,3.81,NA,NA,NA,NA,NA,NA,0.771,0.01,NA,NA,NA,NA,"South and South-East Asia","Afghanistan"
8,1820,437,437,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.92,0,0,NA,NA,NA,"East. Europe and form. SU","Albania"
8,1830,444,444,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.92,0,0,NA,NA,NA,"East. Europe and form. SU","Albania"
8,1840,471,471,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.916,0,0,NA,NA,NA,"East. Europe and form. SU","Albania"
8,1850,500,500,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.913,0,0,0,NA,NA,"East. Europe and form. SU","Albania"
8,1860,552,552,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.906,0,0,0,NA,NA,"East. Europe and form. SU","Albania"
8,1870,603,603,446.1028192,446.1028192,NA,NA,NA,NA,NA,NA,1,NA,NA,0.899,0,0,0,NA,41.2354,"East. Europe and form. SU","Albania"
8,1880,665,665,NA,NA,NA,NA,NA,NA,NA,170.1,1,NA,NA,0.892,0,0,0,NA,NA,"East. Europe and form. SU","Albania"
8,1890,726,726,597.7961433,597.7961433,NA,NA,NA,NA,NA,169.8,1,NA,NA,0.884,0,0,0,NA,28.36242,"East. Europe and form. SU","Albania"
8,1900,800,800,685,685,NA,NA,NA,NA,NA,169.2,1,NA,NA,0.876,0,0,0,NA,NA,"East. Europe and form. SU","Albania"
8,1910,886,886,795.50539465,780.3203661,NA,NA,NA,NA,NA,NA,1,NA,NA,0.868,0,0,0,NA,27.70537,"East. Europe and form. SU","Albania"
8,1920,954.4,954.4,926.3050154,NA,NA,NA,NA,NA,NA,NA,11,0,NA,0.864,0,0,0,NA,NA,"East. Europe and form. SU","Albania"
8,1930,1012.7,1012.7,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,0.863,0,0,0,48.2857142857143,NA,"East. Europe and form. SU","Albania"
8,1940,1141.4,1141.4,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,0.855,0.18,0,4,161.8,NA,"East. Europe and form. SU","Albania"
8,1950,1382.7,1382.7,1165.1425497,1001.338615,NA,NA,NA,NA,57.2895,NA,2,0.94,NA,0.841,0.07,0,3,208.6,NA,"East. Europe and form. SU","Albania"
8,1960,1858,1858,1662.3127531,1450.914723,NA,NA,NA,NA,65.5555,NA,2,0,NA,0.8,0.34,0.01,21,670.8,NA,"East. Europe and form. SU","Albania"
8,1970,2382,2382,2235.3676768,2003.536581,NA,NA,NA,NA,68.708,NA,2,0,NA,0.782,0.47,0.02,47,1397.2,NA,"East. Europe and form. SU","Albania"
8,1980,2928.8,2928.8,2408.5888272,2347.084121,NA,NA,NA,NA,71.3065,NA,2,0,1.72,0.778,0.49,0.03,83,1954.3,NA,"East. Europe and form. SU","Albania"
8,1990,3374.3,3374.3,2224.810945,2499.400144,NA,NA,NA,NA,72.3185,NA,12,0,13.1775,0.776,0.6,0.03,93,728.3,NA,"East. Europe and form. SU","Albania"
8,2000,3545.55555555556,3545.55555555556,4040.03663,2962.279357,NA,NA,NA,NA,75.8425,167.9,16,11.99,4.416,0.774,0.19,0,13,911.222222222222,28.6445446,"East. Europe and form. SU","Albania"
8,2010,3169,3169,5374.99081,5374.99081,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.768,0.2,NA,NA,NA,NA,"East. Europe and form. SU","Albania"
12,1820,2689,2689,430.2714764,430.2714764,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983,0,0,NA,NA,NA,"MENA","Algeria"
12,1830,3155,3155,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.98,0,0,NA,NA,NA,"MENA","Algeria"
12,1840,3622,3622,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.977,0,0,NA,NA,NA,"MENA","Algeria"
12,1850,4088,4088,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.974,0,0,0,NA,NA,"MENA","Algeria"
12,1860,4555,4555,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.97,0,0,0,NA,NA,"MENA","Algeria"
12,1870,3776,3776,715.0423729,715.0423729,NA,NA,0.4,8.6,NA,NA,1,NA,NA,0.967,0,0,1,NA,NA,"MENA","Algeria"
12,1880,5488,5488,NA,NA,NA,NA,0.44,9,NA,NA,1,NA,NA,0.964,0,0,1,NA,NA,"MENA","Algeria"
12,1890,5954,5954,NA,NA,NA,NA,0.48,9.5,NA,NA,1,NA,NA,0.961,0,0,1,NA,NA,"MENA","Algeria"
12,1900,6421,6421,NA,NA,NA,NA,0.5,9.8,NA,NA,1,NA,NA,0.958,0,0,1,NA,NA,"MENA","Algeria"
12,1910,5497,5497,1163.361834,NA,NA,NA,0.62,12.1,NA,168.8,1,NA,NA,0.955,0,0,1,3.25,36.46704,"MENA","Algeria"
12,1920,7354,7354,NA,NA,NA,NA,0.72,14.2,28.8224,166.241,1,NA,NA,0.952,0,0,2,11,NA,"MENA","Algeria"
12,1930,7820,7820,NA,NA,NA,NA,0.79,14.7,31.22,169,1,NA,NA,0.949,0,0,3,27.4,40.32,"MENA","Algeria"
12,1940,8287,8287,NA,NA,NA,NA,0.87,16,33.72,NA,1,NA,NA,0.946,0.01,0,2,159.6,NA,"MENA","Algeria"
12,1950,9774,9774,1529.720982,1364.739583,15.61149184,20.75899457,1.06,18.3,43.9425,NA,1,NA,NA,0.942,0.12,0,14,1255.1,NA,"MENA","Algeria"
12,1960,11965.4,11965.4,1839.6160197,2088.103086,18.51413846,37.02827693,1.23,18.5,48.374,NA,1,NA,NA,0.929,0.16,0,34,1984.7,NA,"MENA","Algeria"
12,1970,15972.3,15972.3,2548.2499955,2249.219713,25.4130958066667,31.553203356,1.76,25.4,53.2085,NA,2,0,NA,0.931,0.3,0.01,114,9641.6,NA,"MENA","Algeria"
12,1980,21655.2,21655.2,3219.6325806,3151.825198,27.619684472,NA,3.24,47.6,63.7245,NA,2,0.29,NA,0.93,0.96,0.01,146,17972.1,NA,"MENA","Algeria"
12,1990,27680.4,27680.4,2754.0890138,2946.865622,32.8312316466667,NA,5.02,63.4,67.8505,171.3,9,3.21,NA,0.936,0.83,0.01,138,24802.8,41.28925,"MENA","Algeria"
12,2000,32129.6666666667,32129.6666666667,3219.9378642,2849.066039,NA,NA,6.45,74.9,69.832,169.5,8,15.64,8.4,0.933,1.04,0.01,184,32164.7777777778,NA,"MENA","Algeria"
12,2010,35423,35423,3512.580739,3512.580739,NA,NA,7.3,81.1,NA,NA,NA,NA,NA,0.931,1,NA,NA,NA,NA,"MENA","Algeria"
16,1820,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.921,0,0,NA,NA,NA,"South and South-East Asia","American Samoa"
16,1830,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919,0,0,NA,NA,NA,"South and South-East Asia","American Samoa"
16,1840,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916,0,0,NA,NA,NA,"South and South-East Asia","American Samoa"
16,1850,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1860,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1870,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1880,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.892,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1890,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1900,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.872,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1910,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1920,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1930,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1940,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1950,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1960,20,20,NA,NA,32.3960164,46.27996316,NA,NA,NA,NA,NA,NA,NA,0.734,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1970,27,27,NA,NA,33.41282221375,43.9774488925,NA,NA,NA,NA,NA,NA,NA,0.705,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1980,33,33,NA,NA,22.28660596,48.09957362,NA,NA,NA,NA,NA,NA,NA,0.682,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,1990,47,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,2000,62.5,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
16,2010,69,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.424,0,NA,NA,NA,NA,"South and South-East Asia","American Samoa"
20,1820,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.918,0,0,NA,NA,NA,"W. Europe","Andorra"
20,1830,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917,0,0,NA,NA,NA,"W. Europe","Andorra"
20,1840,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916,0,0,NA,NA,NA,"W. Europe","Andorra"
20,1850,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914,0,0,0,NA,NA,"W. Europe","Andorra"
20,1860,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913,0,0,0,NA,NA,"W. Europe","Andorra"
20,1870,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.912,0,0,0,NA,NA,"W. Europe","Andorra"
20,1880,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.911,0,0,0,NA,NA,"W. Europe","Andorra"
20,1890,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0,0,0,NA,NA,"W. Europe","Andorra"
20,1900,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909,0,0,0,NA,NA,"W. Europe","Andorra"
20,1910,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908,0,0,0,NA,NA,"W. Europe","Andorra"
20,1920,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.907,0,0,0,NA,NA,"W. Europe","Andorra"
20,1930,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.907,0,0,0,NA,NA,"W. Europe","Andorra"
20,1940,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908,0,0,0,NA,NA,"W. Europe","Andorra"
20,1950,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0,0,0,NA,NA,"W. Europe","Andorra"
20,1960,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0,0,0,NA,NA,"W. Europe","Andorra"
20,1970,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819,0,0,0,NA,NA,"W. Europe","Andorra"
20,1980,37,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803,0,0,0,NA,NA,"W. Europe","Andorra"
20,1990,53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786,0,0,0,125,NA,"W. Europe","Andorra"
20,2000,77.1,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.823,2.16,0,0,147.777777777778,NA,"W. Europe","Andorra"
20,2010,87,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,2.09,NA,NA,NA,NA,"W. Europe","Andorra"
24,1820,2363,2363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.962,0,0,NA,NA,48.93,"Sub-Saharan Africa","Angola"
24,1830,2387,2387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0,0,NA,NA,NA,"Sub-Saharan Africa","Angola"
24,1840,2411,2411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.958,0,0,NA,NA,NA,"Sub-Saharan Africa","Angola"
24,1850,2435,2435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956,0,0,0,NA,NA,"Sub-Saharan Africa","Angola"
24,1860,2460,2460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.953,0,0,0,NA,NA,"Sub-Saharan Africa","Angola"
24,1870,2510,2510,NA,NA,NA,NA,0.01,0.3,NA,NA,NA,NA,NA,0.95,0,0,0,NA,NA,"Sub-Saharan Africa","Angola"
24,1880,2561,2561,NA,NA,NA,NA,0.01,0.3,NA,168.8,NA,NA,NA,0.947,0,0,0,NA,NA,"Sub-Saharan Africa","Angola"
24,1890,2613,2613,NA,NA,NA,NA,0.02,0.6,NA,169.1,1,NA,NA,0.944,0,0,0,NA,28.97607,"Sub-Saharan Africa","Angola"
24,1900,2667,2667,NA,NA,NA,NA,0.02,0.6,NA,168.1,1,NA,NA,0.94,0,0,0,NA,NA,"Sub-Saharan Africa","Angola"
24,1910,2721,2721,NA,NA,NA,NA,0.02,0.6,NA,168,1,NA,NA,0.936,0,0,0,NA,40.8695,"Sub-Saharan Africa","Angola"
24,1920,3024,3024,NA,NA,NA,NA,0.02,0.6,NA,165.7,1,NA,NA,0.926,0,0,1,NA,NA,"Sub-Saharan Africa","Angola"
24,1930,3359,3359,NA,NA,NA,NA,0.02,0.5,NA,166.7,1,NA,NA,0.914,0,0,1,NA,53.06,"Sub-Saharan Africa","Angola"
24,1940,3733,3733,NA,NA,NA,NA,0.03,0.8,26.98,NA,1,NA,NA,0.9,0,0,1,NA,NA,"Sub-Saharan Africa","Angola"
