"region","decade","pop"
"East Asia",1800,336076
"East Asia",1810,387941
"East Asia",1820,420767.25
"East Asia",1830,458494.6
"East Asia",1840,460621.4
"East Asia",1850,445476.5
"East Asia",1860,419334.6
"East Asia",1870,415388.2
"East Asia",1880,429281.4
"East Asia",1890,448816.966666667
"East Asia",1900,475572.4
"East Asia",1910,517891.3
"East Asia",1920,563130.5
"East Asia",1930,600728
"East Asia",1940,643071.333333333
"East Asia",1950,736023.7
"East Asia",1960,870742.2
"East Asia",1970,1084953.5
"East Asia",1980,1251326.2
"East Asia",1990,1417826.2
"East Asia",2000,1524974.63333333
"East Asia",2010,1563952
"East. Europe and form. SU",1800,75535
"East. Europe and form. SU",1810,79609
"East. Europe and form. SU",1820,84768
"East. Europe and form. SU",1830,90705
"East. Europe and form. SU",1840,101018
"East. Europe and form. SU",1850,109257
"East. Europe and form. SU",1860,121356
"East. Europe and form. SU",1870,133087
"East. Europe and form. SU",1880,149777
"East. Europe and form. SU",1890,169647
"East. Europe and form. SU",1900,189600
"East. Europe and form. SU",1910,221577.5
"East. Europe and form. SU",1920,221622.1
"East. Europe and form. SU",1930,241235
"East. Europe and form. SU",1940,268283.9
"East. Europe and form. SU",1950,280060.2
"East. Europe and form. SU",1960,331966.9
"East. Europe and form. SU",1970,365701
"East. Europe and form. SU",1980,396562.1
"East. Europe and form. SU",1990,412395.4
"East. Europe and form. SU",2000,407122.644444444
"East. Europe and form. SU",2010,377252
"Latin America and Carib.",1800,20115
"Latin America and Carib.",1810,21694
"Latin America and Carib.",1820,22805.9
"Latin America and Carib.",1830,27289.1
"Latin America and Carib.",1840,30738.5
"Latin America and Carib.",1850,32069.4
"Latin America and Carib.",1860,38580.6
"Latin America and Carib.",1870,42232.1
"Latin America and Carib.",1880,49367.4
"Latin America and Carib.",1890,58259.2
"Latin America and Carib.",1900,70125.4
"Latin America and Carib.",1910,82828.5
"Latin America and Carib.",1920,97990.3
"Latin America and Carib.",1930,117783.7
"Latin America and Carib.",1940,143706
"Latin America and Carib.",1950,187637.3
"Latin America and Carib.",1960,247359.7
"Latin America and Carib.",1970,319206.4
"Latin America and Carib.",1980,397631.3
"Latin America and Carib.",1990,478619.2
"Latin America and Carib.",2000,551348
"Latin America and Carib.",2010,588596
"MENA",1800,39241
"MENA",1810,40226
"MENA",1820,41660.5
"MENA",1830,44149
"MENA",1840,46796
"MENA",1850,49478
"MENA",1860,51203
"MENA",1870,53451
"MENA",1880,59132
"MENA",1890,65459
"MENA",1900,70874
"MENA",1910,72609
"MENA",1920,82383.2857142857
"MENA",1930,89646
"MENA",1940,101247.8
"MENA",1950,126075.45
"MENA",1960,163986
"MENA",1970,213745.1
"MENA",1980,289969
"MENA",1990,373681.5
"MENA",2000,450111.177777778
"MENA",2010,504456
"South and South-East Asia",1800,285516
"South and South-East Asia",1810,296211
"South and South-East Asia",1820,293972.6
"South and South-East Asia",1830,315518.4
"South and South-East Asia",1840,330267.1
"South and South-East Asia",1850,342270.5
"South and South-East Asia",1860,362461.7
"South and South-East Asia",1870,375649
"South and South-East Asia",1880,405410.5
"South and South-East Asia",1890,428580.2
"South and South-East Asia",1900,457338.5
"South and South-East Asia",1910,485394.957142857
"South and South-East Asia",1920,519419.7
"South and South-East Asia",1930,587430.4
"South and South-East Asia",1940,646984.3
"South and South-East Asia",1950,710025.3
"South and South-East Asia",1960,885388.8
"South and South-East Asia",1970,1114115.5
"South and South-East Asia",1980,1392338.4
"South and South-East Asia",1990,1704750
"South and South-East Asia",2000,2010383.64444444
"South and South-East Asia",2010,2243300
"Sub-Saharan Africa",1800,70762
"Sub-Saharan Africa",1810,71584
"Sub-Saharan Africa",1820,73965
"Sub-Saharan Africa",1830,76134
"Sub-Saharan Africa",1840,79288
"Sub-Saharan Africa",1850,82531
"Sub-Saharan Africa",1860,86551
"Sub-Saharan Africa",1870,92276.5
"Sub-Saharan Africa",1880,96897
"Sub-Saharan Africa",1890,102051
"Sub-Saharan Africa",1900,108084
"Sub-Saharan Africa",1910,114898
"Sub-Saharan Africa",1920,126275
"Sub-Saharan Africa",1930,139822
"Sub-Saharan Africa",1940,155875
"Sub-Saharan Africa",1950,189218.4
"Sub-Saharan Africa",1960,246929.6
"Sub-Saharan Africa",1970,320496.6
"Sub-Saharan Africa",1980,423270.1
"Sub-Saharan Africa",1990,554209.3
"Sub-Saharan Africa",2000,702561.144444444
"Sub-Saharan Africa",2010,819924
"W. Europe",1800,119172
"W. Europe",1810,124645
"W. Europe",1820,140028.7
"W. Europe",1830,158208.7
"W. Europe",1840,169892.9
"W. Europe",1850,176037
"W. Europe",1860,186789.5
"W. Europe",1870,197729.9
"W. Europe",1880,212071.3
"W. Europe",1890,227216.1
"W. Europe",1900,247175.2
"W. Europe",1910,264269.3
"W. Europe",1920,266812.7
"W. Europe",1930,283904.9
"W. Europe",1940,295671.6
"W. Europe",1950,314171.8
