"ctr","sat","year","ccode"
"Argentina",7,1981,32
"Australia",7.9,1981,36
"Austria",7.8,1981,40
"Belgium",7.6,1981,56
"Brazil",7.4,1981,76
"Bulgaria",5,1981,100
"Belarus",5.5,1981,112
"Canada",7.9,1981,124
"Chile",7.6,1981,152
"China",7.3,1981,156
"Czech Republic",6.7,1981,203
"Denmark",8.2,1981,208
"Estonia",6,1981,233
"Finland",7.7,1981,246
"France",6.7,1981,250
"Germany",7,1981,276
"Hungary",6.6,1981,348
"Iceland",8.1,1981,352
"India",6.7,1981,356
"Ireland",7.8,1981,372
"Italy",7,1981,380
"Japan",6.6,1981,392
"Republic of Korea",6.1,1981,410
"Latvia",5.7,1981,428
"Lithuania",6,1981,440
"Malta",8.1,1981,470
"Mexico",7.4,1981,484
"Netherlands",7.7,1981,528
"Nigeria",6.6,1981,566
"Norway",7.8,1981,578
"Poland",6.6,1981,616
"Portugal",7.1,1981,620
"Romania",5.9,1981,642
"Russian Federation",5.4,1981,643
"Slovakia",6.6,1981,703
"Slovenia",6.3,1981,705
"South Africa",6.2,1981,710
"Spain",6.9,1981,724
"Sweden",8,1981,752
"Switzerland",8.4,1981,756
"Turkey",6.4,1981,792
"Great Britain",7.6,1981,826
"United States",7.7,1981,840
"Germany West",7.2,1981,280
"Albania",4.8,1995,8
"Azerbaijan",5.4,1995,31
"Argentina",6.9,1995,32
"Australia",7.6,1995,36
"Bangladesh",6.4,1995,50
"Armenia",4.3,1995,51
"Bosnia and Herzegovina",5.5,1995,70
"Brazil",7.2,1995,76
"Bulgaria",4.7,1995,100
"Belarus",4.3,1995,112
"Chile",6.9,1995,152
"China",6.8,1995,156
"Taiwan Province of China",6.6,1995,158
"Colombia",8.3,1995,170
"Croatia",6.2,1995,191
"Czech Republic",6.4,1995,203
"Dominican Republic",7.1,1995,214
"El Salvador",7.5,1995,222
"Estonia",5,1995,233
"Finland",7.8,1995,246
"Georgia",4.7,1995,268
"Germany",6.9,1995,276
"Hungary",5.9,1995,348
"India",6.5,1995,356
"Japan",6.7,1995,392
"Latvia",4.9,1995,428
"Lithuania",5,1995,440
"Mexico",7.5,1995,484
"Republic of Moldova",3.7,1995,498
"New Zealand",7.7,1995,554
"Nigeria",6.6,1995,566
"Norway",7.7,1995,578
"Peru",6.4,1995,604
"Philippines",6.8,1995,608
"Poland",6.4,1995,616
"Puerto Rico",8.1,1995,630
"Romania",4.9,1995,642
"Russian Federation",4.5,1995,643
"Slovakia",6.1,1995,703
"Slovenia",6.5,1995,705
"South Africa",5.6,1995,710
"Spain",6.6,1995,724
"Sweden",7.8,1995,752
"Switzerland",8.1,1995,756
"Turkey",6.2,1995,792
"Ukraine",4,1995,804
"Macedonia, Republic of",5.7,1995,807
"Great Britain",7.6,1995,826
"United States",7.7,1995,840
"Uruguay",7.1,1995,858
"Venezuela",6.7,1995,862
"Serbia and Montenegro",5.7,1995,688
"Albania",5.2,2000,8
"Algeria",5.7,2000,12
"Argentina",7.3,2000,32
"Austria",8,2000,40
"Bangladesh",5.8,2000,50
"Belgium",7.6,2000,56
"Bosnia and Herzegovina",5.8,2000,70
"Bulgaria",5.3,2000,100
"Belarus",4.8,2000,112
"Canada",7.8,2000,124
"Chile",7.1,2000,152
"China",6.5,2000,156
"Croatia",6.5,2000,191
"Czech Republic",7.1,2000,203
"Denmark",8.2,2000,208
"Estonia",5.9,2000,233
"Finland",7.9,2000,246
"France",6.9,2000,250
"Germany",7.4,2000,276
"Greece",6.7,2000,300
"Hungary",5.7,2000,348
"Iceland",8.1,2000,352
"India",5.1,2000,356
"Indonesia",7,2000,360
"Iran (Islamic Republic of)",6.4,2000,364
"Iraq",5.2,2000,368
"Ireland",8.2,2000,372
"Israel",7,2000,376
"Italy",7.2,2000,380
"Japan",6.5,2000,392
"Jordan",5.6,2000,400
"Republic of Korea",6.2,2000,410
"Kyrgyzstan",6.5,2000,417
"Latvia",5.3,2000,428
"Lithuania",5.1,2000,440
"Luxembourg",7.9,2000,442
"Malta",8.2,2000,470
"Mexico",8.1,2000,484
"Republic of Moldova",4.6,2000,498
"Morocco",6,2000,504
"Netherlands",7.9,2000,528
"Nigeria",6.9,2000,566
"Pakistan",4.9,2000,586
"Peru",6.4,2000,604
"Philippines",6.7,2000,608
"Poland",6.4,2000,616
"Portugal",7,2000,620
"Puerto Rico",8.5,2000,630
"Romania",5.2,2000,642
"Russian Federation",4.7,2000,643
"Saudi Arabia",7.3,2000,682
"Singapore",7.1,2000,702
"Slovakia",6,2000,703
"Viet Nam",6.5,2000,704
"Slovenia",7.2,2000,705
"South Africa",5.8,2000,710
"Zimbabwe",3.9,2000,716
"Spain",7,2000,724
"Sweden",7.7,2000,752
"Turkey",5.6,2000,792
"Uganda",5.6,2000,800
"Ukraine",4.6,2000,804
"Macedonia, Republic of",5.1,2000,807
"Egypt",5.4,2000,818
"Great Britain",7.4,2000,826
"Tanzania, United Republic Of",3.9,2000,834
"United States",7.7,2000,840
"Venezuela",7.5,2000,862
"Serbia and Montenegro",5.6,2000,688
